      t[ns]     EtO1x     EtO1y     EtO1z     EtO2x     EtO2y     EtO2z     EtO3x     EtO3y     EtO3z     EtO4x     EtO4y     EtO4z     EtO5x     EtO5y     EtO5z     EtO6x     EtO6y     EtO6z     EtO7x     EtO7y     EtO7z     EtO8x     EtO8y     EtO8z     EtO9x     EtO9y     EtO9z    EtO10x    EtO10y    EtO10z    EtO11x    EtO11y    EtO11z    EtO12x    EtO12y    EtO12z    EtO13x    EtO13y    EtO13z    EtO14x    EtO14y    EtO14z    EtO15x    EtO15y    EtO15z    EtO16x    EtO16y    EtO16z    EtO17x    EtO17y    EtO17z    EtO18x    EtO18y    EtO18z    EtO19x    EtO19y    EtO19z    EtO20x    EtO20y    EtO20z    EtO21x    EtO21y    EtO21z    EtO22x    EtO22y    EtO22z    EtO23x    EtO23y    EtO23z    EtO24x    EtO24y    EtO24z    EtO25x    EtO25y    EtO25z    EtO26x    EtO26y    EtO26z    EtO27x    EtO27y    EtO27z
        8.96    -57.47     -6.07    -25.92     18.51     66.22     13.74   -119.42      7.13    121.76     72.30     21.23    -10.19    -58.32     46.08    -54.43     36.89    108.56     52.22     26.92     18.42    183.07    -15.78    -35.53     20.28     76.60    137.91    -57.37     26.12     89.19     29.72     11.49    166.82    -57.58     42.66    102.40     83.85    -18.29     52.45      2.88     81.36    -56.24    185.52     -3.92    114.20     -9.17     62.90     74.45     56.92     10.08     -5.24    -35.49     -9.98    -10.32    -56.94    -19.96     -4.93     70.81     54.68     85.34    -63.50     31.48     42.09    -22.69   -179.19    -32.17      7.22     37.88    138.88     70.84    -74.27    -30.32     79.77      8.67     81.36     57.07      0.19     43.63    -10.85      5.51     48.63     33.25
        8.98    -55.31     -3.61    -31.37     16.77     66.32     15.33   -115.13     12.01    120.29     68.84     18.30    -13.38    -53.57     47.28    -54.84     40.72    109.31     55.34     33.22     23.62    190.66    -14.90    -38.56     21.91     79.21    137.08    -58.68     27.28     86.53     36.81      9.64    165.35    -55.71     43.71    100.39     78.18    -15.79     59.50      1.66     80.15    -55.25    185.83     -8.04    116.20    -11.53     62.16     74.25     60.86     10.54     -9.10    -39.10     -8.41    -10.80    -58.16    -21.14     -8.01     74.32     59.92     87.29    -59.79     27.57     43.87    -23.85   -177.00    -31.66      5.16     35.06    141.93     75.89    -78.39    -28.76     81.62      9.74     85.73     57.07      1.08     42.51     -4.06      3.87     51.52     34.54
        8.90    -53.03     -4.95    -30.17     17.35     70.42     21.03   -116.99     13.73    122.07     68.98     18.80    -14.96    -55.37     53.75    -55.13     36.82    108.43     51.69     24.25     26.09    189.04    -18.39    -35.63     19.53     80.11    138.96    -59.53     31.64     85.46     33.91      6.61    168.72    -53.94     42.52    107.47     77.89    -12.17     54.70     -1.87     85.61    -53.95    178.99    -12.40    117.52     -9.25     62.17     78.67     62.47     10.73    -12.86    -37.83    -11.13     -9.93    -56.40    -23.85     -6.06     72.18     60.29     80.39    -58.97     29.16     41.25    -24.39   -179.39    -31.59      2.80     36.23    145.96     77.66    -80.59    -24.20     84.59      9.07     83.02     57.18      6.09     46.24     -2.30      5.38     49.66     33.60
        8.92    -56.36     -9.82    -25.58     16.11     67.99     27.10   -119.21     12.78    119.98     67.66     19.21    -12.17    -54.23     49.43    -60.61     37.32    113.99     50.29     20.49     31.50    185.30    -20.32    -41.72     21.53     83.19    136.18    -55.44     28.19     90.72     33.26      1.62    170.70    -55.87     38.77    106.71     83.04    -17.02     53.23     -1.37     80.98    -58.92    177.70    -11.99    121.74    -10.09     60.61     78.06     63.76     14.40    -13.04    -35.29     -6.80    -10.86    -57.31    -26.39     -4.72     68.06     56.72     83.66    -62.87     31.66     38.69    -24.85   -178.25    -38.20      3.28     37.40    144.29     74.37    -79.10    -28.64     79.37      8.58     81.33     59.22      3.18     48.36     -2.57      4.48     49.75     29.91
        8.94    -52.79     -7.00    -27.53     22.56     69.12     27.15   -119.42     11.83    125.13     64.36     16.07     -8.89    -48.36     48.47    -69.00     30.51    110.15     43.74     22.43     32.55    185.67    -22.84    -42.85     19.92     86.21    135.49    -54.24     28.86     89.06     30.28      1.06    170.57    -56.44     40.63    104.41     83.45    -20.12     60.50     -0.77     79.34    -60.25    176.93    -13.26    121.37     -8.22     60.35     75.99     59.52     11.11    -15.36    -42.54    -10.45     -7.50    -60.43    -28.54     -5.63     65.29     55.39     78.70    -61.17     33.68     37.20    -21.30   -177.76    -32.60      5.48     40.66    144.26     75.04    -81.02    -28.20     84.62      7.54     89.44     52.03      5.19     48.07      1.64      3.34     49.83     27.37
        9.06    -54.58    -10.45    -24.99     24.36     69.11     32.13   -119.00     22.40    122.68     63.75     10.70     -7.89    -48.17     46.89    -65.69     36.53    115.14     43.83     21.04     29.58    177.79    -17.14    -46.85     16.34     86.76    140.33    -50.62     26.11     88.97     31.83     -0.76    177.09    -56.26     39.31     97.18     85.17    -25.98     60.10     -2.06     76.15    -60.80    173.67    -13.18    113.71     -9.58     59.97     80.63     56.41     12.33     -9.16    -44.23    -14.72     -3.65    -58.83    -31.65     -9.86     68.04     49.12     75.73    -55.07     34.73     40.24    -24.84   -180.05    -30.86      3.32     42.20    146.51     72.06    -86.60    -31.53     84.53     14.07     85.21     51.88      8.33     48.34      5.03      7.86     50.38     30.97
        9.08    -51.56     -8.54    -29.00     28.91     72.92     32.35   -115.41     22.17    123.89     64.67      8.51    -14.44    -43.68     40.91    -61.63     37.68    116.35     43.14     20.88     33.48    182.07    -22.25    -51.38     23.77     80.78    138.34    -48.14     21.52     91.43     31.83     -5.39    179.52    -66.68     31.80     94.63     85.20    -25.62     57.76     -2.97     78.55    -59.37    177.48    -14.34    110.64     -5.72     60.19     86.68     51.87      9.21    -11.77    -41.75    -16.03     -1.48    -59.16    -34.15    -15.25     72.45     54.96     74.05    -54.95     41.09     36.20    -20.72   -186.26    -37.85      0.72     47.24    149.90     69.78    -86.18    -31.47     76.23     18.52     85.17     54.51     10.93     49.00      5.90      6.80     49.96     31.60
        9.00    -49.79    -10.41    -27.31     23.38     69.93     32.91   -121.87     22.86    127.38     59.21      8.13    -17.61    -42.83     43.48    -60.71     37.83    118.55     49.06     12.89     33.45    180.36    -22.95    -56.03     18.78     78.00    138.73    -51.49     23.91     91.29     31.19     -2.08    181.40    -65.89     34.18     96.76     83.76    -24.44     59.02     -1.98     75.44    -56.75    176.69     -7.79    114.24     -2.25     61.62     84.34     57.06      6.08    -16.40    -28.69    -21.43     -2.03    -58.93    -38.71    -16.21     72.42     50.55     75.50    -54.21     45.08     39.35    -19.56   -179.22    -28.62      0.16     48.18    151.20     69.92    -86.98    -30.52     81.24     21.71     85.26     49.05     11.67     51.15      6.28      5.29     48.17     35.82
        9.02    -46.55    -15.47    -27.24     22.88     69.42     34.20   -125.36     22.79    129.44     59.41     10.36    -20.05    -45.83     42.72    -62.84     41.63    112.05     47.05     15.38     31.84    181.38    -26.02    -52.52     15.95     73.90    138.85    -48.22     28.38     90.21     30.74     -5.54    179.71    -70.43     30.42    100.94     80.85    -20.92     54.27     -1.17     78.97    -59.03    175.50    -13.28    116.73     -2.97     60.00     88.31     53.74      9.16    -14.53    -24.90    -21.29     -1.61    -56.86    -38.92    -16.39     66.78     47.63     72.24    -53.24     42.98     35.93    -21.17   -179.18    -31.38      1.50     47.36    151.13     73.03    -87.28    -28.45     83.81     26.24     91.97     47.26      8.52     55.24     10.05      5.64     47.06     35.61
        9.04    -50.78    -15.33    -30.46     20.41     63.18     38.87   -125.06     21.54    126.52     59.09      9.19    -19.32    -46.08     42.51    -68.75     44.30    113.93     44.46     20.41     34.44    184.23    -25.74    -56.65     17.59     77.35    138.14    -54.95     25.81     92.93     32.49     -8.02    181.80    -66.22     31.25    102.85     78.23    -20.17     55.37     -2.87     73.51    -60.87    177.04    -10.45    121.91     -1.15     59.93     94.62     52.62     10.32    -17.76    -24.64    -23.60     -6.64    -57.15    -37.53    -19.64     70.46     50.09     72.33    -49.98     43.91     43.40    -24.45   -176.28    -32.44      0.72     46.04    155.81     74.22    -91.40    -26.89     88.16     30.60     93.42     47.48      7.63     51.76      3.03      5.34     48.49     36.66
        9.16    -53.07    -18.12    -29.46     19.80     61.33     36.17   -120.09     19.06    134.24     55.11     11.86    -17.18    -47.54     41.47    -64.73     38.79    106.10     44.48     21.41     41.15    182.42    -26.56    -55.44     16.95     80.63    132.50    -53.28     24.44     93.98     33.35     -3.77    188.48    -65.90     26.74     99.52     77.36    -24.99     50.23     -1.89     80.67    -53.10    179.42     -4.09    120.96     -0.61     59.29     93.83     52.99      4.06    -13.90    -23.12    -28.34     -3.32    -56.44    -41.00    -24.87     70.99     48.60     67.39    -55.25     41.61     42.08    -22.83   -176.57    -34.14      1.13     52.98    156.42     86.94    -86.58    -27.75     84.02     30.59     98.20     42.25     11.66     51.64      4.63      5.44     53.36     40.61
        9.18    -49.11    -18.12    -29.14     22.44     62.95     38.98   -123.55     19.36    124.68     58.51      6.26    -13.54    -52.16     37.87    -62.83     39.10    110.46     43.29     20.64     36.61    177.67    -27.96    -54.60     14.44     87.59    135.88    -54.74     26.22     91.27     37.53     -5.43    189.17    -64.63     33.83    100.51     79.35    -16.68     50.35     -1.83     78.23    -58.33    176.08      2.06    125.31     -1.50     60.45     90.76     49.43      4.35    -15.03    -19.80    -28.86     -3.01    -58.67    -39.08    -21.20     65.32     49.83     67.85    -52.96     41.11     41.32    -22.85   -172.31    -35.94     -0.76     54.17    153.66     85.42    -87.95    -28.12     84.65     28.03     98.28     37.41     15.94     44.66      8.51      0.72     56.70     37.77
        9.10    -50.47    -12.84    -26.38     17.71     62.35     38.72   -127.35     15.65    129.61     58.70     10.17    -15.50    -58.88     32.43    -64.95     36.55    109.69     51.78     21.41     36.39    178.90    -26.21    -47.76     11.89     93.46    131.56    -56.72     27.12     86.92     32.35     -8.64    186.06    -64.69     36.21    101.86     77.04    -16.32     57.80     -3.80     78.49    -56.35    180.22      4.55    120.06     -2.88     65.18     90.51     46.26      1.93    -18.82    -11.79    -25.39     -9.96    -62.96    -31.82    -22.40     63.48     44.87     77.63    -53.24     40.89     45.52    -22.46   -174.32    -34.90     -4.27     48.26    150.01     85.13    -90.52    -33.04     86.27     28.20     98.42     37.28     22.98     47.66      9.26      4.94     56.22     36.87
        9.12    -51.48     -7.62    -27.23     17.32     62.67     41.70   -125.60     22.55    130.13     57.53      7.08    -10.19    -57.00     34.04    -69.13     33.14    110.24     52.55     21.35     35.47    178.51    -30.11    -52.60     12.08     96.34    134.36    -60.05     32.30     90.32     29.50     -5.63    186.81    -64.68     37.04    100.21     76.40    -12.13     64.03      1.95     78.33    -53.41    181.63      7.15    123.32     -4.93     65.60     87.53     48.82     -1.56    -17.56    -11.95    -28.81     -9.44    -63.18    -34.41    -16.32     63.23     44.15     83.39    -55.95     38.31     44.21    -23.78   -171.26    -33.57     -3.70     54.06    150.10     85.10    -89.60    -33.84     86.68     31.45    100.54     36.77     20.25     44.41      4.95      4.62     56.85     38.46
        9.14    -55.59    -13.89    -23.19     17.99     57.12     40.52   -127.43     23.71    135.04     57.79      6.75    -10.10    -57.45     36.45    -72.38     34.50    106.52     54.10     24.03     37.71    176.37    -35.86    -47.64     13.92     94.03    136.94    -57.14     35.85     90.63     28.94     -2.49    190.21    -66.52     32.06     98.46     73.56    -12.66     58.85     -0.83     77.90    -57.83    182.98      5.88    121.61     -6.95     76.84     89.76     44.71     -2.33    -17.57    -13.64    -28.98    -14.86    -64.25    -30.05    -22.35     65.21     40.10     80.43    -52.80     36.03     50.50    -23.78   -175.90    -36.64     -2.57     51.55    154.29     89.36    -90.07    -29.07     80.30     27.24     97.46     33.62     26.02     48.46     10.65      6.52     57.30     41.29
        9.26    -52.84    -12.69    -16.41     18.19     56.26     37.97   -126.59     25.85    134.63     54.36      8.25    -14.97    -51.72     29.10    -74.05     32.48    105.70     54.55     23.02     39.71    176.48    -38.38    -49.83     20.40     96.14    141.89    -54.99     32.11     87.19     34.00     -4.41    188.74    -72.63     30.98     99.80     77.07     -8.00     60.62     -1.17     79.95    -52.88    181.40      7.24    125.25     -6.41     83.32     86.43     44.57     -0.84    -19.79    -10.27    -32.61    -13.62    -70.36    -30.85    -19.05     67.81     36.44     81.69    -48.76     35.66     59.33    -22.72   -179.35    -43.50     -1.65     52.21    156.89     92.41    -90.23    -32.92     78.48     24.54    100.75     30.00     21.32     43.81     14.35     10.03     60.25     41.08
        9.28    -55.06     -7.79    -15.46     18.18     56.35     35.56   -129.63     17.93    134.59     65.77     10.30    -14.73    -46.78     23.94    -73.15     32.32    109.85     52.51     20.59     43.23    175.53    -36.70    -51.62     21.62     94.71    143.72    -58.62     34.98     88.46     31.61     -8.78    187.92    -73.91     34.94     96.51     77.00    -11.57     56.34     -0.45     85.76    -54.79    178.59      6.31    119.09    -11.12     81.52     84.56     44.99     -2.59    -16.43    -14.45    -28.37    -16.33    -77.56    -28.82    -20.28     70.11     37.30     87.37    -46.37     38.79     57.80    -19.96   -184.43    -43.73     -3.26     55.40    160.98     95.05    -90.25    -33.79     80.22     31.10    101.63     31.52     21.39     42.72     18.62     15.50     55.83     45.37
        9.20    -47.57     -6.59    -17.13     18.53     53.84     37.21   -130.60     15.66    133.47     66.43      8.39     -8.01    -50.05     25.63    -73.13     32.26    105.26     51.65     20.53     49.57    173.53    -39.96    -60.71     20.90     97.73    145.31    -59.82     28.30     90.28     27.18    -10.93    183.37    -72.87     38.36     94.34     74.54    -16.80     58.18     -5.54     87.41    -53.04    177.90      6.46    124.78    -12.60     87.65     86.25     45.98     -2.93    -18.47    -17.00    -27.11    -18.38    -78.69    -32.95    -11.88     62.32     37.38     87.68    -45.07     38.22     55.46    -19.36   -189.33    -40.99     -4.37     53.18    160.29     98.56    -85.06    -34.17     80.26     25.55    104.41     29.25     21.57     44.53     15.85     12.72     54.21     48.48
        9.20    -44.38     -7.27    -15.97     19.04     54.11     35.75   -130.87     13.97    130.14     64.54      5.70     -0.66    -49.64     27.73    -75.08     32.26     97.70     49.59     29.14     45.93    168.40    -40.71    -55.91     19.62     96.98    149.16    -60.88     30.13     91.43     29.10     -6.28    180.02    -70.29     34.60     95.12     72.39    -15.32     57.19     -9.98     92.87    -60.63    177.08      8.09    125.48    -15.78     93.15     80.83     44.86     -6.89    -20.58    -12.63    -28.93    -18.18    -79.67    -39.63    -12.29     61.76     37.84     90.41    -42.79     41.58     59.25    -18.46   -186.99    -40.16     -5.98     46.59    160.25    100.10    -83.76    -35.01     84.48     28.81    105.63     32.49     17.92     42.81     18.54     13.48     51.21     48.54
        9.22    -45.13     -8.12    -13.34     19.23     56.63     33.34   -132.74     14.95    130.37     60.99      3.68     -3.80    -46.14     28.36    -71.43     30.66    101.88     48.66     29.88     43.21    173.79    -48.54    -53.17     17.91     94.07    152.53    -64.99     27.82     97.25     33.21     -5.05    175.72    -73.65     30.66     96.05     74.58    -10.17     61.85    -13.19     99.01    -58.97    172.31      4.38    121.31    -16.30     90.91     81.07     48.58     -5.21    -21.64    -12.26    -28.19    -17.42    -75.92    -41.83    -13.52     58.93     41.46     93.86    -40.76     42.11     58.51    -14.73   -183.64    -41.83     -2.79     48.07    161.19     99.09    -82.68    -32.45     89.59     30.00    108.28     32.28     21.44     44.26     17.76     18.52     50.37     53.09
        9.34    -44.82    -10.22    -13.14     12.86     62.08     31.00   -135.35     15.25    131.23     60.76      4.60     -3.51    -45.06     30.17    -68.82     32.44    102.56     49.74     27.17     46.49    173.67    -41.70    -55.64     17.84     99.71    154.57    -56.94     30.18     94.62     30.97     -9.86    172.92    -73.84     30.37     94.94     75.17    -12.41     60.83    -13.67    102.50    -63.25    173.40      2.72    116.45    -16.07     84.28     87.63     52.94     -8.62    -14.35    -14.42    -24.81    -21.98    -73.31    -44.79    -10.34     60.37     46.21     95.30    -40.33     43.00     60.79    -13.96   -182.21    -46.70     -0.51     51.71    162.91     98.79    -83.68    -33.14     87.02     30.01    109.79     35.07     17.58     46.12     19.64     20.98     50.62     57.37
        9.36    -45.96     -9.77    -14.92     17.59     60.47     22.88   -130.03      9.70    124.25     63.85      0.58     -6.88    -43.42     29.81    -73.90     32.48    107.22     48.26     27.69     45.03    177.53    -45.06    -51.18     26.89     95.25    155.27    -54.39     37.41     95.52     34.86     -8.89    171.80    -70.11     29.44     92.89     70.48    -12.00     62.69    -19.01    108.37    -64.58    170.60      1.98    114.25    -15.51     88.65     89.69     48.42     -9.23    -12.97    -14.53    -25.88    -24.90    -70.41    -42.27     -8.90     62.17     43.37     95.54    -38.67     42.21     60.21    -19.14   -186.34    -50.02      1.19     45.02    158.59     94.89    -82.16    -31.06     89.21     32.88    108.38     35.03     14.27     46.20     25.72     17.78     56.26     60.40
        9.38    -42.96    -14.16    -13.81     15.60     63.26     18.43   -133.66      5.72    123.60     63.61     -0.40     -7.01    -43.80     32.12    -77.87     29.52    104.94     52.66     28.27     42.41    181.24    -42.82    -49.60     28.38     96.35    156.18    -52.56     42.63     93.44     38.10     -5.77    168.00    -65.83     25.78     96.59     74.26    -14.09     58.84    -18.83    110.98    -66.20    166.33      4.51    121.15    -13.85     81.94     92.48     50.06     -9.71    -15.88    -17.30    -31.06    -24.75    -70.86    -46.61    -13.98     58.26     37.53     95.51    -32.90     42.99     60.46    -22.00   -178.46    -54.52      2.30     47.78    154.22     93.60    -77.54    -27.38     91.18     28.03    110.86     31.33     10.87     43.85     31.20     20.82     59.86     56.78
        9.30    -48.23    -12.99    -11.54     18.30     63.83     19.32   -132.04      9.90    125.24     65.25     -0.59     -7.17    -46.09     26.73    -71.01     26.63    108.12     50.87     23.63     45.62    183.42    -48.16    -44.69     25.73     96.21    152.81    -49.49     42.18     89.30     36.97     -0.77    168.90    -64.43     25.29     98.04     78.33    -17.00     59.59    -15.29    112.73    -64.23    173.76      3.20    123.72    -12.39     82.31     93.90     52.55    -10.85    -10.25    -16.79    -36.20    -19.39    -66.43    -51.97    -16.25     57.32     39.57     90.00    -31.99     47.25     60.14    -23.87   -177.00    -53.79      3.65     50.77    155.34     93.66    -72.69    -30.51     97.83     33.55    115.12     32.28      8.92     45.07     31.15     23.90     56.14     55.74
        9.32    -48.34    -12.51    -12.76     16.82     70.26     19.22   -134.87      6.88    126.31     66.79      4.11    -10.56    -41.26     30.79    -65.07     26.00    118.08     55.11     16.74     49.05    183.65    -46.63    -52.84     30.20     97.71    154.86    -48.87     47.87     83.82     42.08      4.31    170.68    -59.38     27.69     98.17     76.77    -14.48     57.16    -14.00    112.90    -65.37    176.66      3.27    120.71    -15.05     82.64     96.30     47.41     -4.63    -11.88    -13.51    -43.92    -16.75    -61.65    -48.96    -15.47     55.93     33.08     92.40    -27.58     49.21     58.93    -21.14   -175.31    -53.73      3.11     47.17    152.39     94.95    -75.18    -31.50     99.26     37.11    109.89     30.55      7.69     42.46     31.61     19.72     54.63     56.38
        9.44    -52.73    -17.42    -15.70     15.72     73.41     21.53   -130.84      6.57    131.01     64.58      0.98    -17.15    -48.51     32.37    -67.08     27.08    117.60     58.13     16.77     49.46    181.70    -47.05    -51.82     26.83     98.09    161.67    -50.17     47.44     77.87     37.46      2.14    165.87    -59.21     21.91    102.53     75.75    -17.54     56.89    -17.80    105.89    -60.13    180.33      3.81    117.21    -20.02     80.46     95.45     45.67     -5.61    -12.49    -10.83    -37.53    -17.31    -59.61    -50.66    -14.79     55.14     33.83     86.12    -30.50     49.73     59.34    -18.17   -173.89    -54.25      0.80     38.34    154.42     89.69    -74.86    -33.12     98.59     37.34    107.62     36.46      6.71     42.32     30.39     10.52     59.29     56.71
        9.46    -54.94    -22.14    -19.17     17.63     71.23     21.99   -124.25      7.61    135.71     60.66      0.78    -25.96    -45.33     29.76    -69.99     28.31    119.64     55.43     11.10     51.90    183.60    -48.12    -45.46     31.79    102.48    154.94    -49.22     47.84     82.00     40.25      6.05    164.17    -60.86     27.21    104.07     77.81    -21.78     55.98    -15.45    102.89    -58.46    177.08      5.36    121.29    -20.34     78.39     96.05     51.86     -7.57    -13.44    -15.26    -38.34    -15.10    -56.58    -47.27    -17.97     56.58     35.62     92.11    -35.84     48.86     63.37    -19.22   -170.90    -53.31     -3.48     42.54    151.24     84.07    -69.12    -32.18     94.45     47.83    109.13     35.23      8.69     45.39     29.58      9.14     54.31     52.62
        9.48    -54.99    -17.66    -20.72     11.82     73.48     20.86   -122.61      7.09    132.57     62.50      1.92    -28.67    -46.73     29.61    -74.22     30.02    121.21     56.35      9.98     48.44    185.45    -46.81    -43.63     31.13    101.45    157.50    -48.03     45.00     83.11     36.45      7.20    170.15    -67.34     25.14    100.62     77.64    -22.21     61.31     -9.11    107.53    -60.80    180.11      7.70    122.86    -20.92     79.90     98.79     52.41     -8.31    -15.64    -10.60    -41.92    -17.92    -63.21    -43.70    -15.56     55.61     43.30     92.03    -29.79     46.17     65.51    -18.88   -171.34    -56.39     -0.17     43.04    151.31     88.27    -70.23    -37.19     93.20     44.74    104.38     34.19     10.12     42.70     30.35      4.74     48.25     60.64
        9.40    -55.51    -23.38    -21.05     13.51     65.41     17.55   -122.12      6.54    133.70     59.94      4.91    -31.49    -48.72     25.90    -79.72     27.99    121.75     58.73     10.42     48.24    179.67    -44.42    -38.18     30.39     99.32    155.76    -50.53     49.43     80.93     35.51      6.19    168.18    -65.35     22.17    101.47     76.87    -22.59     58.62    -12.23    108.96    -68.04    169.56      5.27    123.91    -21.60     86.71     96.85     54.50     -6.96    -14.56     -3.46    -41.68    -12.73    -63.70    -45.04    -15.05     57.57     45.93     91.05    -31.81     46.16     64.90    -24.97   -164.68    -52.81     -0.63     42.40    149.47     86.88    -72.86    -36.88     96.07     43.19    105.66     34.21     12.12     43.99     26.08      7.92     47.96     58.71
        9.42    -53.51    -22.89    -21.50      8.33     69.49     24.50   -120.76      7.16    133.30     56.79      4.71    -31.82    -50.22     27.57    -74.78     30.30    118.90     57.82     12.46     50.53    180.49    -41.74    -37.80     26.33    100.89    159.50    -44.25     55.24     77.71     27.03      1.70    168.80    -68.28     22.72     94.41     73.93    -22.58     53.05    -15.34    102.33    -67.08    173.83      1.16    124.62    -22.41     87.97     95.28     52.00      1.05    -15.94     -1.03    -42.19    -13.33    -66.01    -46.39    -14.60     59.02     45.14     89.15    -30.28     47.89     63.80    -26.83   -155.87    -48.12     -1.86     45.43    150.33     85.52    -75.01    -34.83     95.82     41.28    106.89     31.21      8.39     46.76     29.95      5.61     42.89     61.06
        9.54    -53.73    -16.24    -21.74     10.67     72.50     30.87   -113.27      8.94    132.05     58.67      3.13    -33.50    -47.14     30.91    -71.75     36.75    115.91     56.19     11.70     54.65    178.29    -42.48    -41.69     27.09     98.42    160.10    -40.75     55.12     76.63     20.85      8.18    167.88    -67.35     26.74     92.76     76.12    -23.72     54.25    -14.24    103.28    -65.60    173.64      1.11    126.52    -19.93     90.30    100.21     50.07     -3.16    -17.34     -0.98    -41.33    -12.33    -69.84    -40.61    -18.18     59.25     40.53     90.03    -26.81     47.20     64.55    -27.03   -152.96    -52.24     -2.69     40.13    155.83     92.92    -71.07    -37.06     93.41     42.01    113.69     29.17     14.11     43.73     31.32      8.51     43.75     65.08
        9.56    -47.62    -21.04    -24.65      9.40     79.06     34.12   -114.14      7.00    130.26     66.57      2.18    -32.16    -42.99     29.94    -74.31     39.97    114.42     55.43      9.00     63.11    183.06    -34.86    -45.01     28.00    102.37    162.43    -47.17     55.44     72.23     17.26      4.62    161.81    -67.39     24.84     86.52     77.34    -23.90     54.73    -10.56    102.69    -66.27    182.51     -2.80    126.29    -15.24     92.84     99.43     42.38     -2.01     -8.81     -7.48    -41.30     -9.79    -69.38    -36.73    -19.00     64.54     40.51     92.34    -24.62     46.63     63.04    -27.42   -152.18    -53.17     -9.49     42.59    154.49     85.38    -68.57    -37.39     95.52     41.63    118.55     34.69     12.44     45.29     37.08      3.46     48.91     64.23
        9.58    -49.58    -17.98    -26.58      3.46     80.18     31.77   -115.74     13.18    130.34     64.45     -4.87    -35.85    -39.53     29.50    -73.29     43.48    120.01     56.96     13.98     65.07    179.04    -35.69    -48.81     28.94    100.19    163.84    -48.36     50.75     71.94     15.99      3.31    160.89    -66.23     31.38     83.26     87.46    -23.72     61.30     -9.67    110.39    -66.04    180.24      1.16    124.98    -12.58     91.37    101.06     45.40     -6.16     -9.94     -4.69    -41.31    -14.01    -64.11    -32.03    -19.02     61.32     40.77     96.50    -21.68     40.99     64.45    -27.77   -152.34    -54.09    -13.69     45.02    152.47     82.54    -65.23    -36.34     96.29     37.33    114.52     32.09      5.07     50.59     35.09      0.18     49.89     66.25
        9.50    -49.75    -21.15    -25.74      5.65     83.32     35.15   -114.92     11.71    132.22     66.99     -3.80    -36.94    -40.63     31.69    -68.43     49.45    117.92     54.77     13.14     61.92    179.29    -37.24    -44.79     28.18     96.29    158.64    -48.49     50.40     76.65     14.21     10.03    161.71    -71.68     35.05     89.34     83.41    -23.99     59.94     -5.40    112.48    -67.98    182.96     11.25    126.10    -16.78     93.59    105.49     43.02     -7.50     -7.74     -8.32    -43.87    -18.66    -65.32    -32.40    -21.69     59.04     40.29     93.34    -25.53     43.98     57.73    -30.24   -150.05    -52.60    -14.68     43.63    152.76     85.04    -62.04    -35.46     97.72     36.68    117.24     28.51      9.80     54.68     35.72      0.17     50.55     66.49
        9.52    -44.61    -24.23    -14.38      4.17     82.29     32.67   -117.52     10.07    128.38     66.84     -3.66    -35.99    -41.57     33.28    -67.00     49.76    119.40     48.94     12.85     61.04    185.42    -39.78    -49.01     31.17     92.44    157.85    -48.55     44.93     76.96     10.27     14.39    164.09    -74.18     36.93     88.35     81.95    -21.66     58.83     -1.73    110.86    -65.36    188.06      6.15    121.51    -14.20     94.49    102.66     44.77     -7.98     -6.97    -12.12    -37.95    -22.81    -65.74    -27.80    -15.09     55.58     42.07     99.60    -25.30     43.36     54.85    -22.30   -149.07    -54.60     -9.51     47.61    150.94     93.00    -58.46    -33.35     99.61     34.77    110.85     24.46     13.10     46.20     27.75     -0.86     42.52     67.08
        9.64    -36.53    -23.50    -11.00      0.11     81.33     33.69   -118.19     12.33    132.57     70.77      3.77    -37.60    -41.86     34.97    -63.96     55.11    117.42     48.48     15.78     58.29    184.36    -39.70    -48.22     39.60     99.45    159.23    -45.11     44.12     82.60     12.80     10.98    168.39    -76.48     42.84     89.93     83.57    -27.03     61.38     -4.75    111.45    -67.87    187.29      3.59    123.73    -14.05     93.88     99.82     48.33     -7.98     -9.00     -9.25    -40.49    -25.41    -66.44    -23.54     -5.00     52.14     36.09     99.07    -13.24     39.88     57.16    -27.30   -153.99    -49.37     -9.36     51.50    151.56     92.90    -59.80    -31.13    101.46     45.72    115.21     22.58     14.66     39.83     29.47     -4.18     42.12     66.73
        9.66    -31.74    -18.57     -5.11     -2.34     79.92     34.84   -116.50     14.63    135.39     72.25      3.29    -36.64    -47.48     32.57    -59.38     57.87    118.32     49.57     14.66     59.93    180.54    -41.59    -51.26     37.88     92.56    156.30    -48.78     39.64     80.54     14.20     11.77    171.74    -76.46     38.30     91.24     80.10    -22.36     63.88     -2.30    110.30    -68.08    186.93     -1.68    124.04    -18.45     92.24     99.11     47.30     -6.52     -4.27    -13.22    -41.48    -23.45    -63.21    -28.43      3.16     58.05     37.14     97.66    -10.59     44.54     55.01    -25.23   -150.09    -49.65     -3.77     54.49    147.14     94.86    -59.43    -27.61     98.74     33.95    110.31     20.90     14.62     38.53     35.22     -5.43     37.30     59.21
